timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2024-06-27,184.18,186.05,184.02,185.41,185.41,18848884,0.0000,1.0
2024-06-26,182.63,184.51,182.48,183.88,183.88,19838972,0.0000,1.0
2024-06-25,179.62,184.29,179.42,184.03,184.03,23235589,0.0000,1.0
2024-06-24,180.16,180.89,178.67,179.22,179.22,18298012,0.0000,1.0
2024-06-21,177.0,180.85,176.61,179.63,179.63,58582743,0.0000,1.0
2024-06-20,175.37,177.29,174.99,176.3,176.3,20160085,0.0000,1.0
2024-06-18,177.14,177.385,174.1042,175.09,175.09,21869857,0.0000,1.0
2024-06-17,175.46,178.36,174.81,177.24,177.24,19618497,0.0000,1.0
2024-06-14,174.22,177.0623,174.15,176.79,176.79,18063555,0.0000,1.0
2024-06-13,176.11,176.74,174.88,175.16,175.16,20913299,0.0000,1.0
2024-06-12,178.25,180.41,176.11,177.79,177.79,27864737,0.0000,1.0
2024-06-11,176.22,176.84,173.7701,176.62,176.62,21540582,0.0000,1.0
2024-06-10,174.97,177.06,172.76,175.01,175.01,23779218,0.2000,1.0
2024-06-07,177.05,177.87,174.3,174.46,174.260856115519,19661399,0.0000,1.0
2024-06-06,175.895,177.15,175.75,176.73,176.528264939216,23251013,0.0000,1.0
2024-06-05,175.2,176.645,173.9339,175.41,175.209771702528,22068519,0.0000,1.0
2024-06-04,173.28,173.845,171.89,173.79,173.591620912048,26879596,0.0000,1.0
2024-06-03,172.54,174.525,171.16,173.17,172.97232863421,27459118,0.0000,1.0
2024-05-31,171.86,173.06,169.44,172.5,172.30309343074,37638876,0.0000,1.0
2024-05-30,175.2,175.22,171.79,172.11,171.91353861081,22958677,0.0000,1.0
2024-05-29,175.43,176.836,174.72,175.9,175.699212373723,23388693,0.0000,1.0
2024-05-28,174.45,177.27,174.365,176.4,176.198641630044,20572157,0.0000,1.0
2024-05-24,174.98,175.77,173.65,174.99,174.790251127219,16579438,0.0000,1.0
2024-05-23,177.07,178.25,172.95,173.55,173.351894869014,21024935,0.0000,1.0
2024-05-22,176.644,177.15,175.21,176.38,176.178664459791,17880042,0.0000,1.0
2024-05-21,176.9,178.15,175.81,177.85,177.646986473375,16989369,0.0000,1.0
2024-05-20,176.192,178.77,176.08,176.92,176.718048056618,22554400,0.0000,1.0
2024-05-17,174.18,176.265,173.69,176.06,175.859029735746,24479262,0.0000,1.0
2024-05-16,173.29,175.115,172.69,174.18,173.981175731979,27867947,0.0000,1.0
2024-05-15,170.63,172.65,170.51,172.51,172.313082015867,26948370,0.0000,1.0
2024-05-14,169.77,171.25,168.8,170.34,170.145559043434,25127138,0.0000,1.0
2024-05-13,164.26,169.28,164.0,169.14,168.946928828263,31327602,0.0000,1.0
2024-05-10,168.025,169.85,166.19,168.65,168.457488157069,29799931,0.0000,1.0
2024-05-09,169.39,170.69,168.18,169.96,169.76599280863,15346700,0.0000,1.0
2024-05-08,169.0,170.15,168.735,169.38,169.186654871297,19569146,0.0000,1.0
2024-05-07,168.5,171.76,168.39,171.25,171.054520289938,28039696,0.0000,1.0
2024-05-06,167.46,168.14,166.03,168.1,167.908115975116,21871283,0.0000,1.0
2024-05-03,167.56,167.96,163.05,167.24,167.049097654243,34662432,0.0000,1.0
2024-05-02,164.785,166.73,163.89,166.62,166.429805376405,24294549,0.0000,1.0
2024-05-01,164.3,167.12,163.09,163.86,163.672955881514,33493151,0.0000,1.0
2024-04-30,165.612,168.1,162.6,162.78,162.59418868786,33562861,0.0000,1.0
2024-04-29,169.058,169.55,165.21,166.15,165.960341875464,45610024,0.0000,1.0
2024-04-26,174.37,174.71,169.65,171.95,171.753721248787,64665299,0.0000,1.0
2024-04-25,151.33,156.49,150.87,156.0,155.821927972148,57109730,0.0000,1.0
2024-04-24,157.49,159.565,157.165,159.13,158.948355116717,22779112,0.0000,1.0
2024-04-23,156.96,158.97,156.28,158.26,158.079348210719,21151568,0.0000,1.0
2024-04-22,154.31,157.64,154.06,156.28,156.101608355687,26446206,0.0000,1.0
2024-04-19,156.2,156.36,152.3,154.09,153.914108213002,32615639,0.0000,1.0
2024-04-18,155.34,156.94,154.62,156.01,155.831916557274,19883044,0.0000,1.0
2024-04-17,155.62,157.08,154.58,155.47,155.292532960447,21763130,0.0000,1.0
2024-04-16,154.19,155.65,153.43,154.4,154.223754351921,20779495,0.0000,1.0
2024-04-15,158.86,159.24,154.59,154.86,154.683229267736,27136472,0.0000,1.0
2024-04-12,157.96,160.2225,157.14,157.73,157.549953199018,25353746,0.0000,1.0
2024-04-11,156.91,159.68,156.46,159.41,159.228035500257,27166431,0.0000,1.0
2024-04-10,156.21,156.61,154.68,156.14,155.961768163918,22838629,0.0000,1.0
2024-04-09,156.085,158.56,155.19,156.6,156.421243079733,30739691,0.0000,1.0
2024-04-08,152.78,155.27,152.61,154.85,154.673240682609,20577435,0.0000,1.0
2024-04-05,150.03,153.42,149.6,152.5,152.325923177901,23328522,0.0000,1.0
2024-04-04,153.5,154.77,150.45,150.53,150.358171907996,34468227,0.0000,1.0
2024-04-03,153.6,155.08,152.73,154.92,154.743160778494,23884801,0.0000,1.0
2024-04-02,153.5,154.7,152.15,154.56,154.383571713943,24491676,0.0000,1.0
2024-04-01,150.69,155.74,150.61,155.49,155.3125101307,31308247,0.0000,1.0
2024-03-28,150.85,151.43,150.17,150.93,150.757715313053,24485390,0.0000,1.0
2024-03-27,151.18,151.635,148.9,150.87,150.697783802294,22879178,0.0000,1.0
2024-03-26,150.22,152.256,149.98,150.67,150.498012099766,22149137,0.0000,1.0
2024-03-25,149.94,150.375,147.82,150.07,149.898696992181,19229285,0.0000,1.0
2024-03-22,149.12,151.58,148.98,150.77,150.59789795103,29211769,0.0000,1.0
2024-03-21,149.47,150.37,146.9001,147.6,147.431516465955,24755597,0.0000,1.0
2024-03-20,148.0,148.86,146.735,148.74,148.570215170367,21311501,0.0000,1.0
2024-03-19,148.16,148.7913,146.08,147.03,146.862167113749,24070435,0.0000,1.0
2024-03-18,148.61,152.15,147.17,147.68,147.511425146967,69273699,0.0000,1.0
2024-03-15,142.5,143.18,140.03,141.18,141.018844814794,49475417,0.0000,1.0
2024-03-14,141.19,143.585,140.455,143.1,142.936653159066,42570686,0.0000,1.0
2024-03-13,139.0,141.09,138.99,139.79,139.630431482221,23164162,0.0000,1.0
2024-03-12,137.03,139.375,137.03,138.5,138.341904000913,27353587,0.0000,1.0
2024-03-11,136.13,139.1,136.13,137.67,137.51285143542,31677211,0.0000,1.0
2024-03-08,134.21,138.085,134.0,135.41,135.255431196849,39370392,0.0000,1.0
2024-03-07,132.795,134.94,131.61,134.38,134.226606928828,37738209,0.0000,1.0
2024-03-06,133.12,133.58,130.85,131.4,131.250008561155,35318610,0.0000,1.0
2024-03-05,131.88,133.24,130.665,132.67,132.51855887221,40194757,0.0000,1.0
2024-03-04,135.66,135.66,131.91,133.35,133.197782660807,55999415,0.0000,1.0
2024-03-01,138.43,138.87,136.92,137.14,136.98345642372,31151116,0.0000,1.0
2024-02-29,137.28,138.86,136.4,138.46,138.301949660408,42132953,0.0000,1.0
2024-02-28,137.9,138.01,135.41,136.38,136.224323954112,37328558,0.0000,1.0
2024-02-27,138.02,139.25,137.09,138.88,138.721470235717,33099190,0.0000,1.0
2024-02-26,142.14,142.44,137.39,137.57,137.412965584156,53641795,0.0000,1.0
2024-02-23,143.67,144.68,143.43,143.96,143.795671479938,19493752,0.0000,1.0
2024-02-22,144.93,145.0,142.8,144.09,143.925523086582,27191892,0.0000,1.0
2024-02-21,141.45,142.69,140.675,142.55,142.387280977113,23315687,0.0000,1.0
2024-02-20,139.655,142.08,139.49,141.12,140.958913304035,24935710,0.0000,1.0
2024-02-16,142.99,143.19,140.14,140.52,140.35959819645,31468926,0.0000,1.0
2024-02-15,143.14,143.52,140.46,142.77,142.607029849894,37590695,0.0000,1.0
2024-02-14,146.08,146.52,144.094,145.94,145.773411334969,22704166,0.0000,1.0
2024-02-13,144.92,146.67,143.69,145.14,144.974324524856,27837730,0.0000,1.0
2024-02-12,148.42,149.335,147.37,147.53,147.36159637007,21564085,0.0000,1.0
2024-02-09,146.68,149.44,146.18,149.0,148.829918383654,26829504,0.0000,1.0
2024-02-08,145.83,146.33,145.105,145.91,145.74344557959,22563764,0.0000,1.0
2024-02-07,144.76,145.615,143.925,145.54,145.373867929913,25208862,0.0000,1.0
2024-02-06,144.65,145.36,143.19,144.1,143.935511671708,29128201,0.0000,1.0
2024-02-05,142.82,145.47,142.78,143.68,143.515991096399,38505405,0.0000,1.0
